timestamp millis,Plantar Pressure Voltage
27573,"0.01,0.01,0.00,0.01,0.02,0.01,0.00,0.00,0.05,0.03,0.01,0.01,0.00,0.07,0.04,0.03,0.03,0.04,0.13,0.04,0.04,0.02,0.01,0.12,0.02,0.02,0.07,0.07,0.07,0.02,0.02,0.04,0.08,0.02,0.04,0.02,0.09,0.02,0.05,0.03,0.13,0.05,0.06,0.07,0.25,0.09,0.12,0.14,0.16,0.26,0.27,0.29,0.13,0.38,0.40,0.39,0.13,0.17,0.16,0.18,1.25,0.74,0.73,0.74"
27640,"0.09,0.02,0.02,0.00,0.03,0.01,0.01,0.00,0.03,0.06,0.02,0.01,0.01,0.06,0.03,0.02,0.00,0.01,0.05,0.04,0.07,0.07,0.06,0.03,0.02,0.11,0.13,0.16,0.03,0.02,0.07,0.07,0.16,0.05,0.06,0.05,0.17,0.04,0.08,0.09,0.23,0.09,0.15,0.21,0.39,0.21,0.28,0.26,0.29,0.44,0.33,0.28,0.24,0.50,0.39,0.33,0.25,0.21,0.19,0.21,1.22,0.17,0.24,1.39"
27705,"0.23,0.09,0.09,0.02,0.08,0.03,0.03,0.00,0.10,0.01,0.02,0.05,0.01,0.22,0.14,0.15,0.10,0.03,0.30,0.10,0.20,0.19,0.10,0.18,0.08,0.16,0.22,0.17,0.07,0.02,0.06,0.16,0.21,0.02,0.05,0.14,0.18,0.06,0.06,0.14,0.25,0.11,0.19,0.24,0.39,0.25,0.31,0.27,0.25,0.51,0.39,0.27,0.18,0.57,0.44,0.34,0.15,0.57,0.43,0.31,0.15,0.48,0.55,0.29"
27773,"0.22,0.15,0.13,0.04,0.13,0.04,0.09,0.01,0.17,0.07,0.06,0.02,0.00,0.33,0.23,0.24,0.12,0.03,0.43,0.16,0.26,0.20,0.09,0.27,0.11,0.22,0.23,0.14,0.11,0.04,0.08,0.18,0.20,0.06,0.03,0.12,0.19,0.07,0.08,0.18,0.26,0.08,0.17,0.23,0.39,0.27,0.32,0.24,0.22,0.45,0.36,0.29,0.16,0.56,0.40,0.30,0.12,0.55,0.41,0.26,0.09,0.36,0.52,0.22"
27841,"0.29,0.21,0.10,0.07,0.16,0.06,0.16,0.01,0.25,0.11,0.10,0.10,0.03,0.40,0.29,0.31,0.16,0.04,0.49,0.21,0.30,0.20,0.12,0.32,0.15,0.26,0.23,0.17,0.10,0.04,0.10,0.21,0.24,0.02,0.04,0.16,0.24,0.04,0.09,0.20,0.28,0.09,0.20,0.23,0.39,0.28,0.33,0.25,0.22,0.43,0.35,0.26,0.11,0.53,0.39,0.25,0.07,0.54,0.36,0.16,0.07,0.28,0.43,0.13"
27906,"0.32,0.24,0.11,0.09,0.19,0.09,0.18,0.01,0.33,0.17,0.19,0.14,0.02,0.46,0.35,0.33,0.18,0.03,0.58,0.25,0.31,0.20,0.13,0.39,0.19,0.30,0.24,0.16,0.12,0.07,0.13,0.21,0.27,0.03,0.05,0.17,0.23,0.03,0.09,0.21,0.27,0.11,0.20,0.22,0.36,0.30,0.27,0.22,0.16,0.40,0.30,0.22,0.07,0.50,0.36,0.15,0.03,0.43,0.27,0.08,0.06,0.21,0.18,0.08"
27973,"0.35,0.22,0.11,0.13,0.25,0.13,0.19,0.00,0.43,0.24,0.25,0.14,0.01,0.51,0.36,0.34,0.19,0.05,0.62,0.28,0.34,0.21,0.12,0.44,0.24,0.31,0.24,0.15,0.15,0.06,0.12,0.22,0.26,0.05,0.05,0.18,0.19,0.05,0.08,0.18,0.18,0.09,0.17,0.21,0.27,0.24,0.23,0.17,0.11,0.39,0.23,0.11,0.02,0.39,0.23,0.06,0.03,0.25,0.12,0.01,0.05,0.14,0.05,0.04"
28039,"0.39,0.24,0.11,0.15,0.29,0.15,0.16,0.00,0.44,0.30,0.29,0.15,0.01,0.52,0.39,0.38,0.20,0.02,0.65,0.30,0.35,0.21,0.08,0.46,0.24,0.35,0.24,0.13,0.14,0.04,0.11,0.22,0.20,0.04,0.03,0.13,0.14,0.04,0.04,0.10,0.13,0.08,0.13,0.14,0.23,0.18,0.17,0.09,0.08,0.30,0.15,0.03,0.00,0.29,0.17,0.03,0.01,0.12,0.05,0.01,0.07,0.11,0.01,0.01"
28105,"0.39,0.23,0.13,0.17,0.31,0.19,0.16,0.01,0.48,0.33,0.31,0.14,0.00,0.55,0.42,0.38,0.19,0.03,0.66,0.29,0.35,0.22,0.09,0.42,0.23,0.32,0.22,0.10,0.11,0.04,0.08,0.15,0.16,0.04,0.02,0.06,0.12,0.05,0.04,0.08,0.12,0.06,0.06,0.12,0.20,0.14,0.11,0.04,0.04,0.26,0.13,0.03,0.01,0.25,0.12,0.01,0.02,0.11,0.02,0.00,0.05,0.12,0.11,0.04"
28173,"0.40,0.24,0.12,0.19,0.35,0.19,0.18,0.00,0.49,0.38,0.31,0.12,0.01,0.58,0.43,0.37,0.18,0.03,0.67,0.33,0.33,0.19,0.07,0.38,0.21,0.23,0.16,0.09,0.08,0.03,0.05,0.11,0.15,0.04,0.02,0.05,0.13,0.06,0.01,0.04,0.08,0.04,0.02,0.08,0.18,0.07,0.05,0.00,0.07,0.14,0.09,0.01,0.02,0.15,0.06,0.00,0.03,0.13,0.02,0.00,0.04,0.12,0.08,0.04"
