timestamp millis,Plantar Pressure Voltage
10531.0,"0.17,0.12,0.13,0.56,0.14,0.09,0.10,0.00,0.25,0.06,0.05,0.10,0.00,0.36,0.21,0.20,0.13,0.03,0.52,0.17,0.28,0.19,0.09,0.33,0.14,0.25,0.22,0.17,0.10,0.03,0.10,0.22,0.31,0.03,0.02,0.15,0.31,0.06,0.04,0.14,0.32,0.07,0.12,0.23,0.48,0.17,0.26,0.24,0.33,0.42,0.33,0.28,0.19,0.52,0.38,0.30,0.13,0.49,0.38,0.27,0.12,0.49,0.54,0.38"
10597.0,"0.16,0.12,0.14,0.56,0.14,0.09,0.09,0.01,0.23,0.05,0.05,0.08,0.01,0.34,0.21,0.21,0.12,0.03,0.52,0.17,0.28,0.19,0.09,0.32,0.14,0.24,0.22,0.17,0.10,0.03,0.10,0.22,0.31,0.03,0.02,0.14,0.30,0.06,0.04,0.13,0.31,0.07,0.12,0.23,0.48,0.17,0.26,0.24,0.33,0.42,0.34,0.28,0.19,0.52,0.38,0.30,0.14,0.49,0.38,0.27,0.12,0.49,0.54,0.37"
10662.0,"0.16,0.12,0.13,0.57,0.12,0.09,0.10,0.01,0.22,0.05,0.07,0.11,0.01,0.35,0.20,0.20,0.12,0.02,0.53,0.18,0.27,0.18,0.10,0.31,0.13,0.24,0.24,0.18,0.09,0.04,0.10,0.21,0.29,0.05,0.03,0.14,0.28,0.04,0.04,0.13,0.31,0.07,0.12,0.25,0.48,0.16,0.28,0.25,0.33,0.42,0.32,0.29,0.18,0.50,0.37,0.29,0.15,0.49,0.38,0.29,0.12,0.49,0.53,0.35"
10729.0,"0.16,0.12,0.13,0.57,0.12,0.09,0.10,0.01,0.22,0.05,0.07,0.11,0.01,0.35,0.21,0.20,0.12,0.02,0.53,0.17,0.27,0.18,0.10,0.32,0.13,0.24,0.24,0.18,0.09,0.05,0.10,0.21,0.30,0.05,0.03,0.13,0.28,0.06,0.03,0.13,0.31,0.07,0.12,0.25,0.48,0.17,0.26,0.24,0.33,0.42,0.33,0.28,0.19,0.52,0.37,0.29,0.12,0.49,0.39,0.27,0.13,0.49,0.55,0.37"
10797.0,"0.17,0.11,0.13,0.56,0.13,0.09,0.09,0.01,0.23,0.06,0.04,0.10,0.00,0.35,0.21,0.20,0.12,0.03,0.52,0.16,0.27,0.19,0.10,0.33,0.14,0.24,0.22,0.17,0.11,0.04,0.10,0.21,0.30,0.03,0.02,0.12,0.28,0.06,0.04,0.12,0.31,0.07,0.12,0.23,0.48,0.17,0.26,0.24,0.33,0.41,0.34,0.29,0.18,0.52,0.38,0.30,0.13,0.49,0.38,0.28,0.12,0.49,0.54,0.39"
10862.0,"0.18,0.12,0.13,0.57,0.12,0.09,0.08,0.01,0.22,0.06,0.05,0.11,0.00,0.34,0.20,0.21,0.13,0.02,0.53,0.18,0.27,0.18,0.09,0.34,0.13,0.25,0.22,0.18,0.10,0.04,0.10,0.21,0.32,0.04,0.03,0.13,0.28,0.04,0.04,0.12,0.31,0.07,0.14,0.22,0.48,0.17,0.25,0.24,0.33,0.42,0.32,0.28,0.17,0.52,0.38,0.30,0.13,0.49,0.37,0.27,0.13,0.49,0.54,0.38"
10929.0,"0.18,0.13,0.13,0.56,0.13,0.09,0.13,0.02,0.23,0.05,0.04,0.11,0.01,0.34,0.20,0.21,0.13,0.02,0.53,0.18,0.27,0.19,0.08,0.33,0.14,0.24,0.22,0.18,0.10,0.07,0.11,0.22,0.31,0.02,0.03,0.14,0.28,0.07,0.04,0.12,0.31,0.07,0.14,0.22,0.48,0.16,0.24,0.25,0.34,0.41,0.32,0.28,0.18,0.51,0.38,0.30,0.13,0.49,0.37,0.27,0.15,0.49,0.54,0.37"
10996.0,"0.17,0.12,0.12,0.57,0.12,0.10,0.11,0.01,0.22,0.06,0.06,0.12,0.00,0.36,0.23,0.21,0.12,0.01,0.53,0.18,0.27,0.18,0.11,0.33,0.13,0.24,0.24,0.18,0.10,0.05,0.10,0.22,0.30,0.05,0.03,0.15,0.29,0.04,0.04,0.14,0.32,0.07,0.13,0.22,0.48,0.18,0.27,0.24,0.35,0.42,0.32,0.29,0.19,0.51,0.37,0.28,0.13,0.49,0.39,0.28,0.13,0.50,0.54,0.38"
11061.0,"0.16,0.12,0.15,0.56,0.14,0.10,0.09,0.01,0.24,0.06,0.05,0.09,0.00,0.36,0.22,0.21,0.12,0.03,0.53,0.17,0.27,0.19,0.10,0.34,0.14,0.24,0.22,0.17,0.11,0.04,0.11,0.22,0.31,0.04,0.02,0.14,0.30,0.07,0.04,0.13,0.32,0.07,0.13,0.23,0.48,0.17,0.26,0.24,0.34,0.41,0.34,0.29,0.19,0.52,0.38,0.30,0.14,0.49,0.38,0.28,0.12,0.49,0.54,0.39"
11128.0,"0.17,0.12,0.13,0.57,0.13,0.10,0.09,0.00,0.23,0.06,0.05,0.12,0.00,0.37,0.20,0.21,0.14,0.02,0.54,0.18,0.27,0.18,0.10,0.35,0.13,0.25,0.22,0.19,0.10,0.04,0.10,0.22,0.32,0.04,0.03,0.15,0.29,0.04,0.04,0.12,0.32,0.07,0.15,0.23,0.48,0.18,0.26,0.26,0.35,0.42,0.32,0.29,0.18,0.50,0.38,0.31,0.12,0.49,0.38,0.29,0.13,0.49,0.54,0.38"
11194.0,"0.18,0.12,0.14,0.56,0.14,0.10,0.10,0.01,0.21,0.06,0.07,0.13,0.00,0.37,0.21,0.21,0.12,0.02,0.54,0.17,0.28,0.18,0.11,0.34,0.13,0.24,0.23,0.19,0.10,0.05,0.11,0.22,0.31,0.06,0.04,0.15,0.29,0.05,0.04,0.14,0.32,0.07,0.13,0.22,0.48,0.17,0.27,0.25,0.35,0.42,0.32,0.29,0.19,0.51,0.38,0.29,0.13,0.48,0.39,0.29,0.12,0.50,0.54,0.38"
11260.0,"0.18,0.14,0.14,0.58,0.14,0.09,0.11,0.01,0.23,0.07,0.04,0.12,0.01,0.38,0.21,0.21,0.10,0.03,0.53,0.18,0.28,0.17,0.11,0.33,0.14,0.26,0.22,0.18,0.09,0.06,0.11,0.22,0.30,0.04,0.03,0.16,0.29,0.03,0.04,0.15,0.33,0.07,0.13,0.23,0.50,0.19,0.26,0.25,0.34,0.40,0.30,0.31,0.20,0.52,0.37,0.28,0.13,0.49,0.39,0.28,0.13,0.49,0.54,0.38"
11328.0,"0.18,0.13,0.14,0.58,0.14,0.10,0.10,0.01,0.24,0.09,0.05,0.11,0.01,0.38,0.22,0.21,0.12,0.03,0.54,0.18,0.27,0.18,0.11,0.34,0.14,0.27,0.22,0.18,0.10,0.05,0.10,0.21,0.34,0.02,0.03,0.16,0.30,0.05,0.05,0.14,0.33,0.08,0.13,0.23,0.48,0.17,0.24,0.25,0.37,0.43,0.31,0.29,0.20,0.51,0.37,0.30,0.14,0.49,0.36,0.28,0.14,0.50,0.54,0.38"
11394.0,"0.19,0.13,0.12,0.58,0.12,0.08,0.11,0.02,0.24,0.06,0.05,0.12,0.01,0.37,0.23,0.21,0.12,0.03,0.54,0.19,0.27,0.16,0.11,0.35,0.15,0.25,0.22,0.19,0.09,0.05,0.12,0.22,0.32,0.04,0.03,0.16,0.28,0.03,0.04,0.15,0.33,0.07,0.13,0.24,0.48,0.17,0.27,0.26,0.35,0.41,0.31,0.29,0.21,0.52,0.36,0.31,0.14,0.49,0.38,0.29,0.13,0.49,0.56,0.39"
11460.0,"0.19,0.13,0.10,0.58,0.11,0.10,0.11,0.02,0.24,0.06,0.05,0.12,0.01,0.38,0.22,0.20,0.13,0.03,0.54,0.18,0.26,0.17,0.11,0.35,0.15,0.24,0.22,0.19,0.10,0.05,0.12,0.22,0.31,0.04,0.04,0.17,0.29,0.07,0.05,0.15,0.32,0.07,0.13,0.23,0.47,0.17,0.26,0.26,0.35,0.42,0.34,0.29,0.20,0.52,0.37,0.30,0.13,0.49,0.38,0.29,0.13,0.49,0.55,0.39"
11528.0,"0.18,0.12,0.13,0.58,0.13,0.10,0.10,0.01,0.24,0.06,0.05,0.12,0.00,0.37,0.21,0.20,0.11,0.03,0.54,0.18,0.27,0.18,0.11,0.36,0.15,0.24,0.22,0.19,0.10,0.05,0.11,0.23,0.32,0.05,0.03,0.15,0.28,0.04,0.04,0.15,0.32,0.06,0.13,0.24,0.49,0.18,0.25,0.25,0.34,0.40,0.31,0.28,0.19,0.51,0.36,0.29,0.15,0.49,0.39,0.28,0.12,0.50,0.54,0.38"
11591.0,"0.19,0.13,0.13,0.58,0.13,0.10,0.10,0.00,0.24,0.06,0.04,0.12,0.02,0.37,0.20,0.21,0.12,0.03,0.54,0.18,0.27,0.19,0.10,0.35,0.17,0.24,0.22,0.18,0.10,0.04,0.10,0.22,0.33,0.02,0.04,0.18,0.29,0.04,0.05,0.15,0.33,0.07,0.14,0.23,0.48,0.16,0.25,0.26,0.37,0.42,0.31,0.30,0.20,0.51,0.37,0.30,0.14,0.49,0.36,0.28,0.15,0.50,0.54,0.38"
