timestamp millis,Plantar Pressure Voltage
12481.0,"0.32,0.23,0.16,0.06,0.19,0.11,0.22,0.01,0.25,0.11,0.10,0.12,0.00,0.46,0.26,0.25,0.13,0.05,0.57,0.19,0.27,0.19,0.13,0.36,0.15,0.24,0.22,0.20,0.13,0.05,0.09,0.22,0.28,0.05,0.04,0.16,0.28,0.08,0.07,0.20,0.35,0.10,0.18,0.23,0.47,0.23,0.29,0.26,0.35,0.42,0.32,0.28,0.25,0.49,0.37,0.30,0.18,0.48,0.36,0.27,0.22,0.38,0.55,0.38"
12548.0,"0.33,0.24,0.18,0.06,0.18,0.12,0.22,0.02,0.26,0.13,0.10,0.12,0.02,0.46,0.26,0.25,0.14,0.05,0.57,0.20,0.27,0.19,0.14,0.35,0.15,0.26,0.22,0.20,0.13,0.05,0.09,0.20,0.28,0.04,0.05,0.16,0.28,0.08,0.07,0.20,0.35,0.10,0.18,0.23,0.48,0.23,0.28,0.26,0.35,0.42,0.32,0.28,0.24,0.50,0.36,0.30,0.19,0.48,0.36,0.27,0.22,0.38,0.55,0.39"
12613.0,"0.33,0.24,0.18,0.06,0.19,0.10,0.21,0.02,0.26,0.11,0.10,0.11,0.02,0.45,0.26,0.27,0.14,0.06,0.57,0.20,0.28,0.18,0.12,0.34,0.15,0.25,0.22,0.20,0.12,0.04,0.09,0.22,0.28,0.04,0.04,0.16,0.28,0.07,0.06,0.19,0.35,0.11,0.19,0.23,0.46,0.21,0.28,0.25,0.34,0.43,0.32,0.27,0.24,0.50,0.38,0.31,0.18,0.47,0.36,0.28,0.21,0.38,0.55,0.37"
12680.0,"0.32,0.23,0.18,0.06,0.18,0.10,0.22,0.03,0.24,0.10,0.09,0.11,0.02,0.45,0.26,0.26,0.15,0.04,0.57,0.19,0.27,0.17,0.13,0.35,0.15,0.24,0.22,0.20,0.15,0.06,0.09,0.20,0.29,0.05,0.04,0.16,0.27,0.07,0.06,0.19,0.35,0.10,0.19,0.24,0.47,0.21,0.28,0.25,0.34,0.42,0.31,0.27,0.25,0.50,0.38,0.30,0.19,0.47,0.36,0.28,0.22,0.38,0.55,0.38"
12747.0,"0.32,0.24,0.19,0.06,0.18,0.11,0.22,0.02,0.26,0.12,0.08,0.12,0.02,0.46,0.26,0.25,0.14,0.06,0.57,0.19,0.27,0.19,0.13,0.34,0.15,0.26,0.22,0.20,0.13,0.05,0.08,0.19,0.29,0.04,0.05,0.16,0.28,0.08,0.07,0.20,0.34,0.08,0.19,0.25,0.48,0.22,0.29,0.27,0.35,0.42,0.32,0.28,0.25,0.49,0.37,0.31,0.19,0.47,0.35,0.28,0.23,0.38,0.54,0.39"
12813.0,"0.33,0.22,0.18,0.05,0.18,0.13,0.22,0.01,0.24,0.09,0.10,0.12,0.00,0.46,0.25,0.26,0.15,0.05,0.58,0.18,0.27,0.19,0.14,0.35,0.14,0.23,0.22,0.21,0.14,0.06,0.08,0.21,0.29,0.05,0.05,0.15,0.28,0.07,0.08,0.19,0.35,0.10,0.19,0.24,0.46,0.21,0.29,0.27,0.35,0.43,0.32,0.26,0.23,0.49,0.38,0.31,0.18,0.48,0.37,0.28,0.21,0.38,0.54,0.38"
12879.0,"0.33,0.24,0.18,0.05,0.18,0.10,0.21,0.02,0.23,0.09,0.10,0.11,0.03,0.44,0.25,0.25,0.15,0.07,0.58,0.19,0.27,0.18,0.12,0.35,0.13,0.23,0.22,0.21,0.12,0.04,0.11,0.21,0.30,0.05,0.05,0.16,0.28,0.08,0.07,0.20,0.35,0.10,0.19,0.23,0.46,0.22,0.31,0.27,0.34,0.43,0.32,0.28,0.25,0.50,0.38,0.31,0.17,0.46,0.36,0.29,0.21,0.37,0.55,0.39"
12947.0,"0.31,0.24,0.19,0.05,0.19,0.12,0.21,0.02,0.25,0.11,0.10,0.10,0.01,0.45,0.26,0.25,0.13,0.05,0.56,0.19,0.28,0.20,0.12,0.35,0.14,0.25,0.22,0.18,0.13,0.04,0.09,0.20,0.29,0.05,0.02,0.15,0.30,0.09,0.07,0.20,0.35,0.10,0.19,0.24,0.47,0.22,0.28,0.25,0.35,0.43,0.33,0.27,0.25,0.50,0.38,0.31,0.18,0.47,0.36,0.26,0.21,0.38,0.56,0.39"
13012.0,"0.32,0.24,0.17,0.06,0.18,0.10,0.22,0.03,0.26,0.11,0.10,0.11,0.01,0.45,0.28,0.26,0.14,0.06,0.57,0.19,0.27,0.16,0.13,0.35,0.15,0.24,0.22,0.20,0.12,0.05,0.11,0.20,0.29,0.05,0.04,0.16,0.27,0.07,0.06,0.20,0.36,0.11,0.18,0.25,0.47,0.22,0.29,0.27,0.35,0.42,0.31,0.27,0.26,0.50,0.38,0.31,0.19,0.47,0.36,0.28,0.21,0.38,0.55,0.38"
13079.0,"0.33,0.24,0.16,0.06,0.17,0.10,0.23,0.03,0.25,0.11,0.10,0.11,0.01,0.46,0.27,0.25,0.15,0.05,0.57,0.20,0.26,0.18,0.13,0.36,0.15,0.24,0.22,0.20,0.12,0.06,0.10,0.19,0.30,0.05,0.04,0.18,0.27,0.11,0.08,0.20,0.35,0.10,0.19,0.23,0.45,0.22,0.29,0.26,0.35,0.43,0.33,0.29,0.25,0.49,0.39,0.30,0.17,0.47,0.36,0.28,0.21,0.37,0.57,0.40"
